DATE,GEO,Sex,Cancer_type,Characteristics,UOM,VALUE,Age_group
2012,Prince Edward Island,Females,Stomach,Number of new cancer cases,Number,0,Middle-aged Adults
2012,Prince Edward Island,Females,Colon and rectum,Number of new cancer cases,Number,0,Middle-aged Adults
2012,Prince Edward Island,Females,Liver,Number of new cancer cases,Number,0,Middle-aged Adults
2012,Prince Edward Island,Females,Lung and bronchus,Number of new cancer cases,Number,0,Middle-aged Adults
2012,Prince Edward Island,Females,Breast,Number of new cancer cases,Number,0,Middle-aged Adults
2012,Prince Edward Island,Females,Breast,Number of new cancer cases,Number,5,Middle-aged Adults
2012,Prince Edward Island,Females,Stomach,Number of new cancer cases,Number,0,Old-aged Adults
2012,Prince Edward Island,Females,Colon and rectum,Number of new cancer cases,Number,0,Old-aged Adults
2012,Prince Edward Island,Females,Liver,Number of new cancer cases,Number,0,Old-aged Adults
2012,Prince Edward Island,Females,Lung and bronchus,Number of new cancer cases,Number,0,Old-aged Adults
2012,Prince Edward Island,Females,Breast,Number of new cancer cases,Number,10,Old-aged Adults
2012,Prince Edward Island,Females,Lung and bronchus,Number of new cancer cases,Number,5,Old-aged Adults
2012,Prince Edward Island,Females,Breast,Number of new cancer cases,Number,5,Old-aged Adults
2012,Prince Edward Island,Females,Breast,Number of new cancer cases,Number,20,Old-aged Adults
2012,Prince Edward Island,Females,Colon and rectum,Number of new cancer cases,Number,10,Old-aged Adults
2012,Prince Edward Island,Females,Lung and bronchus,Number of new cancer cases,Number,10,Old-aged Adults
2012,Prince Edward Island,Females,Breast,Number of new cancer cases,Number,15,Old-aged Adults
2012,Prince Edward Island,Females,Stomach,Number of new cancer cases,Number,5,Old-aged Adults
2012,Prince Edward Island,Females,Colon and rectum,Number of new cancer cases,Number,5,Old-aged Adults
2012,Prince Edward Island,Females,Stomach,Number of new cancer cases,Number,0,Unknown
2012,Prince Edward Island,Females,Colon and rectum,Number of new cancer cases,Number,0,Unknown
2012,Prince Edward Island,Females,Liver,Number of new cancer cases,Number,0,Unknown
2012,Prince Edward Island,Females,Lung and bronchus,Number of new cancer cases,Number,0,Unknown
2012,Prince Edward Island,Females,Breast,Number of new cancer cases,Number,0,Unknown
2012,Nova Scotia,Females,Stomach,Number of new cancer cases,Number,0,Child
2012,Nova Scotia,Females,Colon and rectum,Number of new cancer cases,Number,0,Child
2012,Nova Scotia,Females,Liver,Number of new cancer cases,Number,0,Child
2012,Nova Scotia,Females,Lung and bronchus,Number of new cancer cases,Number,0,Child
2012,Nova Scotia,Females,Breast,Number of new cancer cases,Number,0,Child
2012,Nova Scotia,Females,Stomach,Number of new cancer cases,Number,0,Young Adults
2012,Nova Scotia,Females,Colon and rectum,Number of new cancer cases,Number,0,Young Adults
2012,Nova Scotia,Females,Liver,Number of new cancer cases,Number,0,Young Adults
2012,Nova Scotia,Females,Lung and bronchus,Number of new cancer cases,Number,0,Young Adults
2012,Nova Scotia,Females,Breast,Number of new cancer cases,Number,0,Young Adults
2012,Nova Scotia,Females,Colon and rectum,Number of new cancer cases,Number,5,Young Adults
2012,Nova Scotia,Females,Breast,Number of new cancer cases,Number,5,Young Adults
2012,Nova Scotia,Females,Stomach,Number of new cancer cases,Number,0,Middle-aged Adults
2012,Nova Scotia,Females,Colon and rectum,Number of new cancer cases,Number,5,Middle-aged Adults
2012,Nova Scotia,Females,Liver,Number of new cancer cases,Number,0,Middle-aged Adults
2012,Nova Scotia,Females,Lung and bronchus,Number of new cancer cases,Number,0,Middle-aged Adults
2012,Nova Scotia,Females,Breast,Number of new cancer cases,Number,10,Middle-aged Adults
2012,Nova Scotia,Females,Colon and rectum,Number of new cancer cases,Number,0,Middle-aged Adults
2012,Nova Scotia,Females,Breast,Number of new cancer cases,Number,20,Middle-aged Adults
2012,Nova Scotia,Females,Lung and bronchus,Number of new cancer cases,Number,5,Middle-aged Adults
2012,Nova Scotia,Females,Breast,Number of new cancer cases,Number,35,Middle-aged Adults
2012,Nova Scotia,Females,Stomach,Number of new cancer cases,Number,0,Old-aged Adults
2012,Nova Scotia,Females,Colon and rectum,Number of new cancer cases,Number,10,Old-aged Adults
2012,Nova Scotia,Females,Liver,Number of new cancer cases,Number,0,Old-aged Adults
2012,Nova Scotia,Females,Lung and bronchus,Number of new cancer cases,Number,10,Old-aged Adults
2012,Nova Scotia,Females,Breast,Number of new cancer cases,Number,70,Old-aged Adults
2012,Nova Scotia,Females,Colon and rectum,Number of new cancer cases,Number,20,Old-aged Adults
2012,Nova Scotia,Females,Lung and bronchus,Number of new cancer cases,Number,35,Old-aged Adults
2012,Nova Scotia,Females,Colon and rectum,Number of new cancer cases,Number,35,Old-aged Adults
2012,Nova Scotia,Females,Lung and bronchus,Number of new cancer cases,Number,55,Old-aged Adults
2012,Nova Scotia,Females,Breast,Number of new cancer cases,Number,80,Old-aged Adults
2012,Nova Scotia,Females,Lung and bronchus,Number of new cancer cases,Number,70,Old-aged Adults
2012,Nova Scotia,Females,Breast,Number of new cancer cases,Number,110,Old-aged Adults
2012,Nova Scotia,Females,Stomach,Number of new cancer cases,Number,5,Old-aged Adults
2012,Nova Scotia,Females,Colon and rectum,Number of new cancer cases,Number,55,Old-aged Adults
2012,Nova Scotia,Females,Lung and bronchus,Number of new cancer cases,Number,65,Old-aged Adults
2012,Nova Scotia,Females,Breast,Number of new cancer cases,Number,105,Old-aged Adults
2012,Nova Scotia,Females,Colon and rectum,Number of new cancer cases,Number,60,Old-aged Adults
2012,Nova Scotia,Females,Lung and bronchus,Number of new cancer cases,Number,85,Old-aged Adults
2012,Nova Scotia,Females,Breast,Number of new cancer cases,Number,85,Old-aged Adults
2012,Nova Scotia,Females,Lung and bronchus,Number of new cancer cases,Number,60,Old-aged Adults
2012,Nova Scotia,Females,Breast,Number of new cancer cases,Number,45,Old-aged Adults
2012,Nova Scotia,Females,Colon and rectum,Number of new cancer cases,Number,50,Old-aged Adults
2012,Nova Scotia,Females,Liver,Number of new cancer cases,Number,5,Old-aged Adults
2012,Nova Scotia,Females,Colon and rectum,Number of new cancer cases,Number,30,Old-aged Adults
2012,Nova Scotia,Females,Breast,Number of new cancer cases,Number,40,Old-aged Adults
2012,Nova Scotia,Females,Lung and bronchus,Number of new cancer cases,Number,15,Old-aged Adults
2012,Nova Scotia,Females,Breast,Number of new cancer cases,Number,20,Old-aged Adults
2012,Nova Scotia,Females,Stomach,Number of new cancer cases,Number,0,Unknown
2012,Nova Scotia,Females,Colon and rectum,Number of new cancer cases,Number,0,Unknown
2012,Nova Scotia,Females,Liver,Number of new cancer cases,Number,0,Unknown
2012,Nova Scotia,Females,Lung and bronchus,Number of new cancer cases,Number,0,Unknown
2012,Nova Scotia,Females,Breast,Number of new cancer cases,Number,0,Unknown
2012,New Brunswick,Females,Stomach,Number of new cancer cases,Number,0,Child
2012,New Brunswick,Females,Colon and rectum,Number of new cancer cases,Number,0,Child
2012,New Brunswick,Females,Liver,Number of new cancer cases,Number,0,Child
2012,New Brunswick,Females,Lung and bronchus,Number of new cancer cases,Number,0,Child
2012,New Brunswick,Females,Breast,Number of new cancer cases,Number,0,Child
2012,New Brunswick,Females,Stomach,Number of new cancer cases,Number,0,Young Adults
2012,New Brunswick,Females,Colon and rectum,Number of new cancer cases,Number,0,Young Adults
2012,New Brunswick,Females,Liver,Number of new cancer cases,Number,0,Young Adults
2012,New Brunswick,Females,Lung and bronchus,Number of new cancer cases,Number,0,Young Adults
2012,New Brunswick,Females,Breast,Number of new cancer cases,Number,0,Young Adults
2012,New Brunswick,Females,Stomach,Number of new cancer cases,Number,0,Middle-aged Adults
2012,New Brunswick,Females,Colon and rectum,Number of new cancer cases,Number,0,Middle-aged Adults
2012,New Brunswick,Females,Liver,Number of new cancer cases,Number,0,Middle-aged Adults
2012,New Brunswick,Females,Lung and bronchus,Number of new cancer cases,Number,0,Middle-aged Adults
2012,New Brunswick,Females,Breast,Number of new cancer cases,Number,5,Middle-aged Adults
2012,New Brunswick,Females,Breast,Number of new cancer cases,Number,10,Middle-aged Adults
2012,New Brunswick,Females,Breast,Number of new cancer cases,Number,20,Middle-aged Adults
2012,New Brunswick,Females,Stomach,Number of new cancer cases,Number,0,Old-aged Adults
2012,New Brunswick,Females,Colon and rectum,Number of new cancer cases,Number,10,Old-aged Adults
2012,New Brunswick,Females,Liver,Number of new cancer cases,Number,5,Old-aged Adults
2012,New Brunswick,Females,Lung and bronchus,Number of new cancer cases,Number,5,Old-aged Adults
2012,New Brunswick,Females,Breast,Number of new cancer cases,Number,55,Old-aged Adults
2012,New Brunswick,Females,Liver,Number of new cancer cases,Number,0,Old-aged Adults
2012,New Brunswick,Females,Lung and bronchus,Number of new cancer cases,Number,15,Old-aged Adults
2012,New Brunswick,Females,Colon and rectum,Number of new cancer cases,Number,20,Old-aged Adults
2012,New Brunswick,Females,Lung and bronchus,Number of new cancer cases,Number,35,Old-aged Adults
2012,New Brunswick,Females,Breast,Number of new cancer cases,Number,60,Old-aged Adults
2012,New Brunswick,Females,Stomach,Number of new cancer cases,Number,5,Old-aged Adults
2012,New Brunswick,Females,Lung and bronchus,Number of new cancer cases,Number,55,Old-aged Adults
2012,New Brunswick,Females,Breast,Number of new cancer cases,Number,70,Old-aged Adults
2012,New Brunswick,Females,Colon and rectum,Number of new cancer cases,Number,30,Old-aged Adults
2012,New Brunswick,Females,Lung and bronchus,Number of new cancer cases,Number,40,Old-aged Adults
2012,New Brunswick,Females,Breast,Number of new cancer cases,Number,65,Old-aged Adults
2012,New Brunswick,Females,Lung and bronchus,Number of new cancer cases,Number,50,Old-aged Adults
2012,New Brunswick,Females,Colon and rectum,Number of new cancer cases,Number,35,Old-aged Adults
2012,New Brunswick,Females,Lung and bronchus,Number of new cancer cases,Number,45,Old-aged Adults
2012,New Brunswick,Females,Breast,Number of new cancer cases,Number,35,Old-aged Adults
2012,New Brunswick,Females,Colon and rectum,Number of new cancer cases,Number,40,Old-aged Adults
2012,New Brunswick,Females,Lung and bronchus,Number of new cancer cases,Number,25,Old-aged Adults
2012,New Brunswick,Females,Breast,Number of new cancer cases,Number,40,Old-aged Adults
2012,New Brunswick,Females,Colon and rectum,Number of new cancer cases,Number,25,Old-aged Adults
2012,New Brunswick,Females,Lung and bronchus,Number of new cancer cases,Number,20,Old-aged Adults
2012,New Brunswick,Females,Breast,Number of new cancer cases,Number,20,Old-aged Adults
2012,New Brunswick,Females,Colon and rectum,Number of new cancer cases,Number,15,Old-aged Adults
2012,New Brunswick,Females,Breast,Number of new cancer cases,Number,10,Old-aged Adults
2012,New Brunswick,Females,Stomach,Number of new cancer cases,Number,0,Unknown
2012,New Brunswick,Females,Colon and rectum,Number of new cancer cases,Number,0,Unknown
2012,New Brunswick,Females,Liver,Number of new cancer cases,Number,0,Unknown
2012,New Brunswick,Females,Lung and bronchus,Number of new cancer cases,Number,0,Unknown
2012,New Brunswick,Females,Breast,Number of new cancer cases,Number,0,Unknown
2012,Quebec,Females,Stomach,Number of new cancer cases,Number,0,Child
2012,Quebec,Females,Colon and rectum,Number of new cancer cases,Number,0,Child
2012,Quebec,Females,Liver,Number of new cancer cases,Number,5,Child
2012,Quebec,Females,Lung and bronchus,Number of new cancer cases,Number,0,Child
2012,Quebec,Females,Breast,Number of new cancer cases,Number,0,Child
2012,Quebec,Females,Colon and rectum,Number of new cancer cases,Number,5,Child
2012,Quebec,Females,Liver,Number of new cancer cases,Number,0,Child
2012,Quebec,Females,Stomach,Number of new cancer cases,Number,0,Young Adults
2012,Quebec,Females,Colon and rectum,Number of new cancer cases,Number,5,Young Adults
2012,Quebec,Females,Liver,Number of new cancer cases,Number,0,Young Adults
2012,Quebec,Females,Lung and bronchus,Number of new cancer cases,Number,0,Young Adults
2012,Quebec,Females,Breast,Number of new cancer cases,Number,5,Young Adults
2012,Quebec,Females,Stomach,Number of new cancer cases,Number,5,Young Adults
2012,Quebec,Females,Colon and rectum,Number of new cancer cases,Number,10,Young Adults
2012,Quebec,Females,Breast,Number of new cancer cases,Number,20,Young Adults
2012,Quebec,Females,Stomach,Number of new cancer cases,Number,5,Middle-aged Adults
2012,Quebec,Females,Colon and rectum,Number of new cancer cases,Number,20,Middle-aged Adults
2012,Quebec,Females,Liver,Number of new cancer cases,Number,0,Middle-aged Adults
2012,Quebec,Females,Lung and bronchus,Number of new cancer cases,Number,5,Middle-aged Adults
2012,Quebec,Females,Breast,Number of new cancer cases,Number,75,Middle-aged Adults
2012,Quebec,Females,Lung and bronchus,Number of new cancer cases,Number,10,Middle-aged Adults
2012,Quebec,Females,Breast,Number of new cancer cases,Number,175,Middle-aged Adults
2012,Quebec,Females,Stomach,Number of new cancer cases,Number,0,Middle-aged Adults
2012,Quebec,Females,Colon and rectum,Number of new cancer cases,Number,40,Middle-aged Adults
2012,Quebec,Females,Lung and bronchus,Number of new cancer cases,Number,30,Middle-aged Adults
2012,Quebec,Females,Breast,Number of new cancer cases,Number,330,Middle-aged Adults
2012,Quebec,Females,Stomach,Number of new cancer cases,Number,10,Old-aged Adults
2012,Quebec,Females,Colon and rectum,Number of new cancer cases,Number,100,Old-aged Adults
2012,Quebec,Females,Liver,Number of new cancer cases,Number,5,Old-aged Adults
2012,Quebec,Females,Lung and bronchus,Number of new cancer cases,Number,120,Old-aged Adults
2012,Quebec,Females,Breast,Number of new cancer cases,Number,520,Old-aged Adults
2012,Quebec,Females,Colon and rectum,Number of new cancer cases,Number,185,Old-aged Adults
2012,Quebec,Females,Liver,Number of new cancer cases,Number,15,Old-aged Adults
2012,Quebec,Females,Lung and bronchus,Number of new cancer cases,Number,280,Old-aged Adults
2012,Quebec,Females,Breast,Number of new cancer cases,Number,785,Old-aged Adults
2012,Quebec,Females,Stomach,Number of new cancer cases,Number,15,Old-aged Adults
2012,Quebec,Females,Colon and rectum,Number of new cancer cases,Number,240,Old-aged Adults
2012,Quebec,Females,Liver,Number of new cancer cases,Number,10,Old-aged Adults
2012,Quebec,Females,Lung and bronchus,Number of new cancer cases,Number,510,Old-aged Adults
2012,Quebec,Females,Breast,Number of new cancer cases,Number,765,Old-aged Adults
2012,Quebec,Females,Stomach,Number of new cancer cases,Number,30,Old-aged Adults
2012,Quebec,Females,Colon and rectum,Number of new cancer cases,Number,335,Old-aged Adults
2012,Quebec,Females,Lung and bronchus,Number of new cancer cases,Number,575,Old-aged Adults
2012,Quebec,Females,Breast,Number of new cancer cases,Number,890,Old-aged Adults
2012,Quebec,Females,Stomach,Number of new cancer cases,Number,35,Old-aged Adults
2012,Quebec,Females,Colon and rectum,Number of new cancer cases,Number,390,Old-aged Adults
2012,Quebec,Females,Liver,Number of new cancer cases,Number,20,Old-aged Adults
2012,Quebec,Females,Lung and bronchus,Number of new cancer cases,Number,670,Old-aged Adults
2012,Quebec,Females,Breast,Number of new cancer cases,Number,860,Old-aged Adults
2012,Quebec,Females,Stomach,Number of new cancer cases,Number,50,Old-aged Adults
2012,Quebec,Females,Colon and rectum,Number of new cancer cases,Number,370,Old-aged Adults
2012,Quebec,Females,Liver,Number of new cancer cases,Number,25,Old-aged Adults
2012,Quebec,Females,Lung and bronchus,Number of new cancer cases,Number,645,Old-aged Adults
2012,Quebec,Females,Breast,Number of new cancer cases,Number,605,Old-aged Adults
2012,Quebec,Females,Stomach,Number of new cancer cases,Number,45,Old-aged Adults
2012,Quebec,Females,Colon and rectum,Number of new cancer cases,Number,400,Old-aged Adults
2012,Quebec,Females,Lung and bronchus,Number of new cancer cases,Number,540,Old-aged Adults
2012,Quebec,Females,Breast,Number of new cancer cases,Number,460,Old-aged Adults
2012,Quebec,Females,Colon and rectum,Number of new cancer cases,Number,430,Old-aged Adults
2012,Quebec,Females,Liver,Number of new cancer cases,Number,35,Old-aged Adults
2012,Quebec,Females,Lung and bronchus,Number of new cancer cases,Number,405,Old-aged Adults
2012,Quebec,Females,Breast,Number of new cancer cases,Number,400,Old-aged Adults
2012,Quebec,Females,Colon and rectum,Number of new cancer cases,Number,295,Old-aged Adults
2012,Quebec,Females,Lung and bronchus,Number of new cancer cases,Number,265,Old-aged Adults
2012,Quebec,Females,Breast,Number of new cancer cases,Number,285,Old-aged Adults
2012,Quebec,Females,Colon and rectum,Number of new cancer cases,Number,205,Old-aged Adults
2012,Quebec,Females,Lung and bronchus,Number of new cancer cases,Number,140,Old-aged Adults
2012,Quebec,Females,Breast,Number of new cancer cases,Number,185,Old-aged Adults
2012,Quebec,Females,Stomach,Number of new cancer cases,Number,0,Unknown
2012,Quebec,Females,Colon and rectum,Number of new cancer cases,Number,0,Unknown
2012,Quebec,Females,Liver,Number of new cancer cases,Number,0,Unknown
2012,Quebec,Females,Lung and bronchus,Number of new cancer cases,Number,0,Unknown
2012,Quebec,Females,Breast,Number of new cancer cases,Number,0,Unknown
2012,Ontario,Females,Stomach,Number of new cancer cases,Number,0,Child
2012,Ontario,Females,Colon and rectum,Number of new cancer cases,Number,0,Child
2012,Ontario,Females,Liver,Number of new cancer cases,Number,5,Child
2012,Ontario,Females,Lung and bronchus,Number of new cancer cases,Number,0,Child
2012,Ontario,Females,Breast,Number of new cancer cases,Number,0,Child
2012,Ontario,Females,Liver,Number of new cancer cases,Number,0,Child
2012,Ontario,Females,Stomach,Number of new cancer cases,Number,0,Young Adults
2012,Ontario,Females,Colon and rectum,Number of new cancer cases,Number,5,Young Adults
2012,Ontario,Females,Liver,Number of new cancer cases,Number,0,Young Adults
2012,Ontario,Females,Lung and bronchus,Number of new cancer cases,Number,0,Young Adults
2012,Ontario,Females,Breast,Number of new cancer cases,Number,5,Young Adults
2012,Ontario,Females,Colon and rectum,Number of new cancer cases,Number,15,Young Adults
2012,Ontario,Females,Stomach,Number of new cancer cases,Number,5,Young Adults
2012,Ontario,Females,Liver,Number of new cancer cases,Number,5,Young Adults
2012,Ontario,Females,Lung and bronchus,Number of new cancer cases,Number,5,Young Adults
2012,Ontario,Females,Breast,Number of new cancer cases,Number,40,Young Adults
2012,Ontario,Females,Stomach,Number of new cancer cases,Number,5,Middle-aged Adults
2012,Ontario,Females,Colon and rectum,Number of new cancer cases,Number,30,Middle-aged Adults
2012,Ontario,Females,Liver,Number of new cancer cases,Number,0,Middle-aged Adults
2012,Ontario,Females,Lung and bronchus,Number of new cancer cases,Number,10,Middle-aged Adults
2012,Ontario,Females,Breast,Number of new cancer cases,Number,100,Middle-aged Adults
2012,Ontario,Females,Colon and rectum,Number of new cancer cases,Number,40,Middle-aged Adults
2012,Ontario,Females,Liver,Number of new cancer cases,Number,5,Middle-aged Adults
2012,Ontario,Females,Breast,Number of new cancer cases,Number,260,Middle-aged Adults
2012,Ontario,Females,Stomach,Number of new cancer cases,Number,15,Middle-aged Adults
2012,Ontario,Females,Colon and rectum,Number of new cancer cases,Number,95,Middle-aged Adults
2012,Ontario,Females,Lung and bronchus,Number of new cancer cases,Number,25,Middle-aged Adults
2012,Ontario,Females,Breast,Number of new cancer cases,Number,540,Middle-aged Adults
2012,Ontario,Females,Stomach,Number of new cancer cases,Number,25,Old-aged Adults
2012,Ontario,Females,Colon and rectum,Number of new cancer cases,Number,165,Old-aged Adults
2012,Ontario,Females,Liver,Number of new cancer cases,Number,5,Old-aged Adults
2012,Ontario,Females,Lung and bronchus,Number of new cancer cases,Number,90,Old-aged Adults
2012,Ontario,Females,Breast,Number of new cancer cases,Number,885,Old-aged Adults
2012,Ontario,Females,Stomach,Number of new cancer cases,Number,20,Old-aged Adults
2012,Ontario,Females,Colon and rectum,Number of new cancer cases,Number,250,Old-aged Adults
2012,Ontario,Females,Liver,Number of new cancer cases,Number,20,Old-aged Adults
2012,Ontario,Females,Lung and bronchus,Number of new cancer cases,Number,225,Old-aged Adults
2012,Ontario,Females,Breast,Number of new cancer cases,Number,1105,Old-aged Adults
2012,Ontario,Females,Stomach,Number of new cancer cases,Number,40,Old-aged Adults
2012,Ontario,Females,Colon and rectum,Number of new cancer cases,Number,300,Old-aged Adults
2012,Ontario,Females,Liver,Number of new cancer cases,Number,25,Old-aged Adults
2012,Ontario,Females,Lung and bronchus,Number of new cancer cases,Number,420,Old-aged Adults
2012,Ontario,Females,Breast,Number of new cancer cases,Number,1100,Old-aged Adults
2012,Ontario,Females,Stomach,Number of new cancer cases,Number,45,Old-aged Adults
2012,Ontario,Females,Colon and rectum,Number of new cancer cases,Number,405,Old-aged Adults
2012,Ontario,Females,Lung and bronchus,Number of new cancer cases,Number,585,Old-aged Adults
2012,Ontario,Females,Breast,Number of new cancer cases,Number,1190,Old-aged Adults
2012,Ontario,Females,Stomach,Number of new cancer cases,Number,55,Old-aged Adults
2012,Ontario,Females,Colon and rectum,Number of new cancer cases,Number,440,Old-aged Adults
2012,Ontario,Females,Liver,Number of new cancer cases,Number,30,Old-aged Adults
2012,Ontario,Females,Lung and bronchus,Number of new cancer cases,Number,660,Old-aged Adults
2012,Ontario,Females,Breast,Number of new cancer cases,Number,1135,Old-aged Adults
2012,Ontario,Females,Stomach,Number of new cancer cases,Number,70,Old-aged Adults
2012,Ontario,Females,Colon and rectum,Number of new cancer cases,Number,425,Old-aged Adults
2012,Ontario,Females,Lung and bronchus,Number of new cancer cases,Number,760,Old-aged Adults
2012,Ontario,Females,Breast,Number of new cancer cases,Number,930,Old-aged Adults
2012,Ontario,Females,Stomach,Number of new cancer cases,Number,65,Old-aged Adults
2012,Ontario,Females,Colon and rectum,Number of new cancer cases,Number,445,Old-aged Adults
2012,Ontario,Females,Lung and bronchus,Number of new cancer cases,Number,710,Old-aged Adults
2012,Ontario,Females,Breast,Number of new cancer cases,Number,715,Old-aged Adults
2012,Ontario,Females,Colon and rectum,Number of new cancer cases,Number,525,Old-aged Adults
2012,Ontario,Females,Lung and bronchus,Number of new cancer cases,Number,580,Old-aged Adults
2012,Ontario,Females,Breast,Number of new cancer cases,Number,555,Old-aged Adults
2012,Ontario,Females,Colon and rectum,Number of new cancer cases,Number,385,Old-aged Adults
2012,Ontario,Females,Lung and bronchus,Number of new cancer cases,Number,315,Old-aged Adults
2012,Ontario,Females,Breast,Number of new cancer cases,Number,395,Old-aged Adults
2012,Ontario,Females,Stomach,Number of new cancer cases,Number,30,Old-aged Adults
2012,Ontario,Females,Colon and rectum,Number of new cancer cases,Number,220,Old-aged Adults
2012,Ontario,Females,Liver,Number of new cancer cases,Number,10,Old-aged Adults
